,blank,objectid,seating_interest,restaurant_name,legal_business_name,dba,building_number,street,borough,postcode,business_address,time_of_submission,latitude,longitude,nta
102,7511,7564,sidewalk,PILAR EXPRESS CORP.,PILAR EXPRESS CORP.,PILAR EXPRESS CORP.,502,"EAST 138TH STREET, STORE 4",Bronx,10454,"502 EAST 138TH STREET, STORE 4, Bronx, NY",07/07/2020,40.807672,-73.91951800000001,Mott Haven-Port Morris
103,7642,7696,sidewalk,TROPILYZ III RESTAURANT CORP.,TROPILYZ III RESTAURANT CORP.,TROPILYZ III RESTAURANT CORP.,358,EAST 149TH,Bronx,10455,"358 EAST 149TH , Bronx, NY",07/08/2020,,,
104,7708,7762,both,EL MACO RESTAURANT CORP.,EL MACO RESTAURANT CORP.,EL MACO RESTAURANT CORP.,1481,JEROME AVE,Bronx,10452,"1481 JEROME AVE, Bronx, NY",07/08/2020,40.841713,-73.91664399999999,Highbridge
105,7764,7818,roadway,Krystal Bar&Lounge,Liranzo Family Inc,Krystal Bar&Lounge,1534,University Avenue,Bronx,10452,"1534 University Avenue, Bronx, NY",07/08/2020,40.845763,-73.922035,University Heights-Morris Heights
106,7927,7981,sidewalk,Margheritas Pizza,Margherita’s Pizza Corp,Margherita’s Pizza Corp,945,East 163rd street,Bronx,10459,"945 East 163rd street , Bronx, NY",07/09/2020,40.821003999999995,-73.896209,Longwood
107,7983,8037,both,El líder bar restaurant,El líder bar restaurant,El líder bar restaurant,4535,Park ave,Bronx,10457,"4535  Park ave , Bronx, NY",07/10/2020,40.855498,-73.894857,Fordham South
108,8019,8073,sidewalk,El Bohio Sabroso,El Bohio Sabroso,El Bohio Sabroso,1155,Webster ave,Bronx,10456,"1155 Webster ave, Bronx, NY",07/11/2020,40.830436,-73.91067,East Concourse-Concourse Village
109,8069,8124,roadway,LaileileiJuice&SnackBar,Laileilei Juice & Snack Bar,Laileilei Juice & Snack Bar,832,Westchester Avenue,Bronx,10455,"832 Westchester Avenue, Bronx, NY",07/12/2020,40.81945,-73.902046,Melrose South-Mott Haven North
110,8162,8217,both,La Espanola Way Inc,La Espanola Way Inc,Tequila & Mezcal,1292,Westchester Avenue,Bronx,10459,"1292  Westchester Avenue, Bronx, NY",07/13/2020,40.827319,-73.88674300000001,Hunts Point
111,8232,8287,sidewalk,GOTA LOUNGE,KANITA LOUNGE CORP,KANITA LOUNGE CORP,128,EAST 174TH STREET,Bronx,10457,"128  EAST 174TH STREET, Bronx, NY",07/14/2020,40.844867,-73.91014100000001,Mount Hope
112,8234,8289,both,D'Angel Billiards,D'Angel Billiards Corp,D'Angel Billiards Corp,857,East 149th Street,Bronx,10455,"857 East 149th Street, Bronx, NY",07/14/2020,40.811896000000004,-73.903882,Longwood
113,8241,8296,both,"27 SPORTS BAR AND CAFE, INC.",27 SPORTS BAR AND CAFE INC.,27 SPORTS BAR AND CAFE INC.,2,WEST MOUNT EDEN AVENUE,Bronx,10452,"2  WEST MOUNT EDEN AVENUE, Bronx, NY",07/14/2020,40.844404,-73.914916,West Concourse
114,8252,8307,both,MADE IN PR BAR & LOUNGE,MADE IN PUERTO RICO LATIN CUISINE & SPORTS BAR CORP.,MADE IN PR BAR & LOUNGE,26,BRUCKNER BLVD,Bronx,10454,"26 BRUCKNER BLVD, Bronx, NY",07/14/2020,40.807214,-73.928405,Mott Haven-Port Morris
115,8278,8333,sidewalk,pique 86 restaurant,pique 86 restaurant corp,pique 86 restaurant,220E,198th st,Bronx,10452,"220E  198th st , Bronx, NY",07/14/2020,40.869706,-73.890221,Bedford Park-Fordham North
116,8334,8389,both,La Coneja Juice Bar,La Coneja Juice Bar LLC,La Coneja Juice Bar LLC,176,E 174 st,Bronx,10457,"176 E 174 st, Bronx, NY",07/14/2020,40.844803000000006,-73.90897,Mount Hope
117,8335,8390,both,Burger Chimi Tropical,Burger Chimi Tropical Corp,Burger Chimi Tropical Corp,940,Southern Boulevard,Bronx,10459,"940  Southern Boulevard, Bronx, NY",07/14/2020,40.821096000000004,-73.89161700000001,Hunts Point
